district_code,district_name,date,selling_price_m2
1,Ciutat Vella,2006-01,n.d.
1,Ciutat Vella,2006-02,n.d.
1,Ciutat Vella,2006-03,n.d.
1,Ciutat Vella,2006-04,n.d.
1,Ciutat Vella,2006-05,n.d.
1,Ciutat Vella,2006-06,n.d.
1,Ciutat Vella,2006-07,n.d.
1,Ciutat Vella,2006-08,n.d.
1,Ciutat Vella,2006-09,n.d.
1,Ciutat Vella,2006-10,n.d.
1,Ciutat Vella,2006-11,n.d.
1,Ciutat Vella,2006-12,n.d.
1,Ciutat Vella,2007-01,n.d.
1,Ciutat Vella,2007-02,n.d.
1,Ciutat Vella,2007-03,n.d.
1,Ciutat Vella,2007-04,n.d.
1,Ciutat Vella,2007-05,n.d.
1,Ciutat Vella,2007-06,n.d.
1,Ciutat Vella,2007-07,n.d.
1,Ciutat Vella,2007-08,n.d.
1,Ciutat Vella,2007-09,n.d.
1,Ciutat Vella,2007-10,n.d.
1,Ciutat Vella,2007-11,n.d.
1,Ciutat Vella,2007-12,n.d.
1,Ciutat Vella,2008-01,n.d.
1,Ciutat Vella,2008-02,n.d.
1,Ciutat Vella,2008-03,n.d.
1,Ciutat Vella,2008-04,n.d.
1,Ciutat Vella,2008-05,n.d.
1,Ciutat Vella,2008-06,n.d.
1,Ciutat Vella,2008-07,n.d.
1,Ciutat Vella,2008-08,n.d.
1,Ciutat Vella,2008-09,n.d.
1,Ciutat Vella,2008-10,4046
1,Ciutat Vella,2008-11,4029
1,Ciutat Vella,2008-12,3959
1,Ciutat Vella,2009-01,4029
1,Ciutat Vella,2009-02,4138
1,Ciutat Vella,2009-03,4233
1,Ciutat Vella,2009-04,4151
1,Ciutat Vella,2009-05,4050
1,Ciutat Vella,2009-06,4100
1,Ciutat Vella,2009-07,4164
1,Ciutat Vella,2009-08,3884
1,Ciutat Vella,2009-09,3918
1,Ciutat Vella,2009-10,3919
1,Ciutat Vella,2009-11,4059
1,Ciutat Vella,2009-12,4054
1,Ciutat Vella,2010-01,3866
1,Ciutat Vella,2010-02,3842
1,Ciutat Vella,2010-03,3833
1,Ciutat Vella,2010-04,3884
1,Ciutat Vella,2010-05,3762
1,Ciutat Vella,2010-06,3787
1,Ciutat Vella,2010-07,3816
1,Ciutat Vella,2010-08,3747
